店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
小料理 木の花,080-5283-6140,,鹿児島県,奄美市,名瀬入舟町16-3,,https://fbru600.gorp.jp/,True
目利きの銀次 浜田南口駅前店,0855-22-4988,,島根県,浜田市,浅井町1563,,https://y043430.gorp.jp/,True
旬魚季菜 とと桜,050-5486-2131,,石川県,金沢市,片町2-5-5,,https://r448804.gorp.jp/,True
中国美点菜 彩華,050-5484-3536,,宮城県,仙台市青葉区,国分町2-15-1,,https://saika1925.gorp.jp/,True
とらふぐ亭 新宿別館,050-5484-6576,,東京都,新宿区,歌舞伎町1-3-15,,https://g603401.gorp.jp/,True
ビンティ 西馬込本店,050-5492-5288,,東京都,大田区,南馬込5-38-4,,https://gh4x200.gorp.jp/,True
SOMETHING サムシング 浦和本店,050-5485-8549,,埼玉県,さいたま市浦和区,仲町2-1-5,,https://samuthing-urawa.gorp.jp/,True
カラオケZERO 河内天美店,050-5486-2968,,大阪府,松原市,天美東7-10-20,,https://karaoke-zero-kawachiamami.gorp.jp/,True
Osteria il Faro,0470-29-7525,,千葉県,南房総市,白浜町白浜791,,https://gj4k800.gorp.jp/,True
両国 どぜう 桔梗家,050-5488-0973,,東京都,墨田区,両国1-13-15,,https://ggn5900.gorp.jp/,True
牛豚馬鶏 田村店,0247-61-6929,,福島県,田村市,船引町東部台3-35,,https://t966100.gorp.jp/,True
鮨と地酒 地雷也,050-5486-2081,,青森県,青森市,本町1-3-12,,https://ta1v300.gorp.jp/,True
居酒屋 八蔵 吉野ヶ里店,050-5485-8238,,佐賀県,神埼郡吉野ケ里町,吉田33-1,,https://fb93403.gorp.jp/,True
和彩鉄板 KAZUMI168,050-5488-1219,,愛媛県,松山市,三番町1-16-8,,https://s583201.gorp.jp/,True
cafe mitu,050-5488-6289,,福岡県,福岡市中央区,春吉3-23-22,,https://fbz4502.gorp.jp/,True
ChezSAWA,050-8885-0767,,島根県,隠岐郡知夫村,仁夫2293,,https://ya5p400.gorp.jp/,True
炭火焼肉 牛仁 仙台泉店,050-5487-4354,,宮城県,仙台市泉区,大沢3-9-1,,https://gyujinsendaiizumi.gorp.jp/,True
にぎり長次郎 門真店,050-5489-5308,,大阪府,門真市,四宮2-2-18,,https://kds9329.gorp.jp/,True
しゃぶしゃぶ久米家,050-5488-9637,,沖縄県,那覇市,久米2-11-1,,https://fbze000.gorp.jp/,True
サムズ バイザシー 小禄バイパス店,098-857-0339,,沖縄県,那覇市,具志3-25-5,,https://sams-by-the-sea-oroku.gorp.jp/,True
魚民 水海道駅前店,0297-22-0788,,茨城県,常総市,水海道宝町2860-4,,https://gddz217.gorp.jp/,True
和食麺処サガミ瑞浪中央店,050-5494-1685,,岐阜県,瑞浪市,益見町3-37,,https://ncb7084.gorp.jp/,True
肉匠と海鮮 個室居酒屋 媛花（ひめか） 松山大街道本店,089-993-6807,,愛媛県,松山市,大街道2-3-5,,https://s554400.gorp.jp/,True
Fa Bene,050-5493-4071,,千葉県,千葉市若葉区,殿台町419-1,,https://gah3500.gorp.jp/,True
木曽路 新松戸店,050-5484-2250,,千葉県,松戸市,二ツ木342,,https://906kisoji.gorp.jp/,True
鮨 棗 大通ビッセ店,050-5488-8362,,北海道,札幌市中央区,大通西3-7,,https://h996300.gorp.jp/,True
全席個室 じぶんどき博多筑紫口店,050-5486-2693,,福岡県,福岡市博多区,博多駅中央街6-3,,http://wedding.gnavi.co.jp/rdt/kaoawase/f030218/,False
ステーキのあさくま 磐田店,050-5485-8162,,静岡県,磐田市,一言字道珍60,,https://nc5m302.gorp.jp/,True
創作Cafe dining てっぱんや　三島駅前,050-5487-5744,,静岡県,三島市,一番町13-15,,https://nc6k900.gorp.jp/,True
Nord un（ノーアン）,050-5486-2176,,香川県,高松市,大工町1-7,,https://s580000.gorp.jp/,True
魚民（こころや） 真岡西口駅前店,0285-82-3488,,栃木県,真岡市,並木町1-5-1,,https://gddz223.gorp.jp/,True
サッポロビール仙台ビール園 名取本館,050-5492-6986,,宮城県,名取市,手倉田字八幡310-1,,https://t003300.gorp.jp/,True
焼き鳥・馬刺し 個室居酒屋 くるみ,050-5484-5334,,熊本県,熊本市中央区,花畑町10-5,,https://fbxu800.gorp.jp/,True
リオグランデグリル イクスピアリ 舞浜,050-5489-0495,,千葉県,浦安市,舞浜1-4,,https://gh0d827.gorp.jp/,True
